Grid	Lat/Lon hddd°mm.mmm'
Datum	WGS 84

Header	Name	Start Time	Elapsed Time	Length	Average Speed	Link

Track	ACTIVE LOG	5/20/2006 1:34:55 PM 	01:56:53	4.80 mi	2.5 mph	

Header	Position	Time	Altitude	Depth	Leg Length	Leg Time	Leg Speed	Leg Course

Trackpoint	N42 49.822 W70 45.413	5/20/2006 1:34:55 PM 	97 ft
Trackpoint	N42 49.820 W70 45.415	5/20/2006 1:35:10 PM 	16 ft		17 ft	00:00:15	0.76 mph	200° true
Trackpoint	N42 49.821 W70 45.408	5/20/2006 1:35:25 PM 	15 ft		30 ft	00:00:15	1.4 mph	75° true
Trackpoint	N42 49.824 W70 45.400	5/20/2006 1:35:40 PM 	19 ft		38 ft	00:00:15	1.7 mph	66° true
Trackpoint	N42 49.825 W70 45.393	5/20/2006 1:35:55 PM 	18 ft		35 ft	00:00:15	1.6 mph	77° true
Trackpoint	N42 49.824 W70 45.379	5/20/2006 1:36:10 PM 	24 ft		64 ft	00:00:15	2.9 mph	97° true
Trackpoint	N42 49.821 W70 45.370	5/20/2006 1:36:25 PM 	19 ft		43 ft	00:00:15	2.0 mph	111° true
Trackpoint	N42 49.821 W70 45.362	5/20/2006 1:36:40 PM 	26 ft		34 ft	00:00:15	1.6 mph	90° true
Trackpoint	N42 49.821 W70 45.353	5/20/2006 1:36:55 PM 	24 ft		40 ft	00:00:15	1.8 mph	90° true
Trackpoint	N42 49.816 W70 45.341	5/20/2006 1:37:10 PM 	23 ft		60 ft	00:00:15	2.7 mph	121° true
Trackpoint	N42 49.807 W70 45.330	5/20/2006 1:37:25 PM 	13 ft		75 ft	00:00:15	3.4 mph	137° true
Trackpoint	N42 49.794 W70 45.324	5/20/2006 1:37:40 PM 	0.5 ft		82 ft	00:00:15	3.7 mph	164° true
Trackpoint	N42 49.784 W70 45.326	5/20/2006 1:37:55 PM 	4 ft		63 ft	00:00:15	2.9 mph	185° true
Trackpoint	N42 49.776 W70 45.339	5/20/2006 1:38:10 PM 	5 ft		74 ft	00:00:15	3.4 mph	231° true
Trackpoint	N42 49.781 W70 45.361	5/20/2006 1:38:25 PM 	5 ft		103 ft	00:00:15	4.7 mph	288° true
Trackpoint	N42 49.786 W70 45.381	5/20/2006 1:38:40 PM 	10 ft		97 ft	00:00:15	4.4 mph	289° true
Trackpoint	N42 49.780 W70 45.400	5/20/2006 1:38:55 PM 	8 ft		95 ft	00:00:15	4.3 mph	246° true
Trackpoint	N42 49.767 W70 45.412	5/20/2006 1:39:10 PM 	16 ft		94 ft	00:00:15	4.3 mph	213° true
Trackpoint	N42 49.750 W70 45.420	5/20/2006 1:39:25 PM 	19 ft		108 ft	00:00:15	4.9 mph	199° true
Trackpoint	N42 49.735 W70 45.430	5/20/2006 1:39:40 PM 	13 ft		105 ft	00:00:15	4.8 mph	206° true
Trackpoint	N42 49.719 W70 45.440	5/20/2006 1:39:55 PM 	11 ft		105 ft	00:00:15	4.8 mph	206° true
Trackpoint	N42 49.701 W70 45.447	5/20/2006 1:40:10 PM 	10 ft		113 ft	00:00:15	5.2 mph	195° true
Trackpoint	N42 49.683 W70 45.455	5/20/2006 1:40:25 PM 	11 ft		115 ft	00:00:15	5.2 mph	197° true
Trackpoint	N42 49.668 W70 45.465	5/20/2006 1:40:40 PM 	10 ft		105 ft	00:00:15	4.8 mph	206° true
Trackpoint	N42 49.652 W70 45.476	5/20/2006 1:40:55 PM 	10 ft		107 ft	00:00:15	4.9 mph	209° true
Trackpoint	N42 49.637 W70 45.489	5/20/2006 1:41:10 PM 	10 ft		110 ft	00:00:15	5.0 mph	211° true
Trackpoint	N42 49.623 W70 45.502	5/20/2006 1:41:25 PM 	10 ft		104 ft	00:00:15	4.7 mph	214° true
Trackpoint	N42 49.611 W70 45.520	5/20/2006 1:41:40 PM 	10 ft		107 ft	00:00:15	4.9 mph	229° true
Trackpoint	N42 49.600 W70 45.537	5/20/2006 1:41:55 PM 	8 ft		103 ft	00:00:15	4.7 mph	227° true
Trackpoint	N42 49.585 W70 45.552	5/20/2006 1:42:10 PM 	7 ft		110 ft	00:00:15	5.0 mph	219° true
Trackpoint	N42 49.574 W70 45.569	5/20/2006 1:42:25 PM 	5 ft		103 ft	00:00:15	4.7 mph	227° true
Trackpoint	N42 49.562 W70 45.586	5/20/2006 1:42:40 PM 	7 ft		103 ft	00:00:15	4.7 mph	227° true
Trackpoint	N42 49.549 W70 45.601	5/20/2006 1:42:55 PM 	7 ft		104 ft	00:00:15	4.7 mph	221° true
Trackpoint	N42 49.536 W70 45.617	5/20/2006 1:43:10 PM 	5 ft		104 ft	00:00:15	4.7 mph	221° true
Trackpoint	N42 49.525 W70 45.632	5/20/2006 1:43:25 PM 	4 ft		99 ft	00:00:15	4.5 mph	224° true
Trackpoint	N42 49.513 W70 45.646	5/20/2006 1:43:40 PM 	7 ft		95 ft	00:00:15	4.3 mph	222° true
Trackpoint	N42 49.499 W70 45.660	5/20/2006 1:43:55 PM 	5 ft		107 ft	00:00:15	4.9 mph	216° true
Trackpoint	N42 49.486 W70 45.675	5/20/2006 1:44:10 PM 	5 ft		101 ft	00:00:15	4.6 mph	219° true
Trackpoint	N42 49.473 W70 45.690	5/20/2006 1:44:25 PM 	8 ft		104 ft	00:00:15	4.7 mph	221° true
Trackpoint	N42 49.463 W70 45.707	5/20/2006 1:44:40 PM 	5 ft		98 ft	00:00:15	4.4 mph	230° true
Trackpoint	N42 49.452 W70 45.722	5/20/2006 1:44:55 PM 	7 ft		99 ft	00:00:15	4.5 mph	224° true
Trackpoint	N42 49.436 W70 45.734	5/20/2006 1:45:10 PM 	11 ft		107 ft	00:00:15	4.9 mph	209° true
Trackpoint	N42 49.422 W70 45.747	5/20/2006 1:45:25 PM 	11 ft		104 ft	00:00:15	4.7 mph	214° true
Trackpoint	N42 49.412 W70 45.762	5/20/2006 1:45:40 PM 	8 ft		93 ft	00:00:15	4.2 mph	228° true
Trackpoint	N42 49.401 W70 45.780	5/20/2006 1:45:55 PM 	7 ft		102 ft	00:00:15	4.6 mph	232° true
Trackpoint	N42 49.388 W70 45.796	5/20/2006 1:46:10 PM 	8 ft		104 ft	00:00:15	4.7 mph	221° true
Trackpoint	N42 49.377 W70 45.811	5/20/2006 1:46:25 PM 	13 ft		99 ft	00:00:15	4.5 mph	224° true
Trackpoint	N42 49.365 W70 45.828	5/20/2006 1:46:40 PM 	16 ft		103 ft	00:00:15	4.7 mph	227° true
Trackpoint	N42 49.354 W70 45.845	5/20/2006 1:46:55 PM 	16 ft		103 ft	00:00:15	4.7 mph	227° true
Trackpoint	N42 49.342 W70 45.861	5/20/2006 1:47:10 PM 	15 ft		103 ft	00:00:15	4.7 mph	227° true
Trackpoint	N42 49.329 W70 45.877	5/20/2006 1:47:25 PM 	10 ft		104 ft	00:00:15	4.7 mph	221° true
Trackpoint	N42 49.318 W70 45.892	5/20/2006 1:47:40 PM 	10 ft		99 ft	00:00:15	4.5 mph	224° true
Trackpoint	N42 49.307 W70 45.909	5/20/2006 1:47:55 PM 	13 ft		98 ft	00:00:15	4.4 mph	230° true
Trackpoint	N42 49.297 W70 45.926	5/20/2006 1:48:10 PM 	11 ft		98 ft	00:00:15	4.4 mph	230° true
Trackpoint	N42 49.287 W70 45.945	5/20/2006 1:48:25 PM 	11 ft		107 ft	00:00:15	4.8 mph	234° true
Trackpoint	N42 49.276 W70 45.962	5/20/2006 1:48:40 PM 	11 ft		98 ft	00:00:15	4.4 mph	230° true
Trackpoint	N42 49.264 W70 45.977	5/20/2006 1:48:55 PM 	11 ft		104 ft	00:00:15	4.7 mph	221° true
Trackpoint	N42 49.252 W70 45.993	5/20/2006 1:49:10 PM 	8 ft		99 ft	00:00:15	4.5 mph	224° true
Trackpoint	N42 49.244 W70 46.012	5/20/2006 1:49:25 PM 	7 ft		98 ft	00:00:15	4.5 mph	241° true
Trackpoint	N42 49.237 W70 46.031	5/20/2006 1:49:40 PM 	5 ft		98 ft	00:00:15	4.5 mph	241° true
Trackpoint	N42 49.226 W70 46.052	5/20/2006 1:49:56 PM 	8 ft		111 ft	00:00:16	4.7 mph	236° true
Trackpoint	N42 49.217 W70 46.070	5/20/2006 1:50:11 PM 	13 ft		97 ft	00:00:15	4.4 mph	236° true
Trackpoint	N42 49.208 W70 46.088	5/20/2006 1:50:26 PM 	13 ft		97 ft	00:00:15	4.4 mph	236° true
Trackpoint	N42 49.199 W70 46.109	5/20/2006 1:50:42 PM 	19 ft		107 ft	00:00:16	4.6 mph	239° true
Trackpoint	N42 49.191 W70 46.128	5/20/2006 1:50:57 PM 	24 ft		98 ft	00:00:15	4.5 mph	241° true
Trackpoint	N42 49.182 W70 46.147	5/20/2006 1:51:12 PM 	19 ft		102 ft	00:00:15	4.6 mph	238° true
Trackpoint	N42 49.170 W70 46.164	5/20/2006 1:51:27 PM 	16 ft		108 ft	00:00:15	4.9 mph	224° true
Trackpoint	N42 49.159 W70 46.181	5/20/2006 1:51:42 PM 	11 ft		98 ft	00:00:15	4.4 mph	230° true
Trackpoint	N42 49.154 W70 46.201	5/20/2006 1:51:57 PM 	10 ft		97 ft	00:00:15	4.4 mph	251° true
Trackpoint	N42 49.154 W70 46.223	5/20/2006 1:52:12 PM 	-4.3 ft		98 ft	00:00:15	4.4 mph	270° true
Trackpoint	N42 49.153 W70 46.245	5/20/2006 1:52:27 PM 	-2.7 ft		98 ft	00:00:15	4.5 mph	265° true
Trackpoint	N42 49.145 W70 46.264	5/20/2006 1:52:42 PM 	2 ft		98 ft	00:00:15	4.5 mph	241° true
